id,Municipio,Matricula,Analfabetismo
001,	Abasolo,	18838,	7.6
002,	Acámbaro,	20521,	7.3
003,	San Miguel de Allende,	39047,	7.6
004,	Apaseo el Alto,	14641,	8.0
005,	Apaseo el Grande,	22673,	5.3
006,	Atarjea,	1146,	13.2
007,	Celaya,	99401,	3.4
008,	Manuel Doblado,	8228,	8.8
009,	Comonfort,	18447,	8.1
010,	Coroneo,	2741,	7.7
011,	Cortazar,	19640,	5.0
012,	Cuerámaro,	6531,	8.3
013,	Doctor Mora,	6988,	9.3
014,	Dolores Hidalgo Cuna de la Independencia Nacional,	38995,	8.1
015,	Guanajuato,	41893,	3.3
016,	Huanímaro,	4395,	6.7
017,	Irapuato,	121012,	3.9
018,	Jaral del Progreso,	7878,	7.0
019,	Jerécuaro,	10522,	12.4
020,	León,	317678,	3.3
021,	Moroleón,	10033,	5.4
022,	Ocampo,	5599,	8.0
023,	Pénjamo,	31016,	8.2
024,	Pueblo Nuevo,	3197,	8.5
025,	Purísima del Rincón,	17347,	4.4
026,	Romita,	14606,	7.6
027,	Salamanca,	54027,	5.1
028,	Salvatierra,	18620,	7.6
029,	San Diego de la Unión,	8708,	10.3
030,	San Felipe,	28399,	8.7
031,	San Francisco del Rincón,	27208,	4.9
032,	San José Iturbide,	21604,	5.8
033,	San Luis de la Paz,	29756,	8.8
034,	Santa Catarina,	1384,	12.6
035,	Santa Cruz de Juventino Rosas,	19824,	8.0
036,	Santiago Maravatío,	1204,	10.2
037,	Silao de la Victoria,	45622,	5.5
038,	Tarandacuao,	2544,	7.0
039,	Tarimoro,	6950,	8.9
040,	Tierra Blanca,	4547,	10.6
041,	Uriangato,	9728,	5.7
042,	Valle de Santiago,	28579,	7.0
043,	Victoria,	5101,	8.4
044,	Villagrán,	14148,	5.1
045,	Xichú,	2609,	14.6
046,	Yuriria,	14286,	9.8